,Municipality ID,Municipality,Year,Poverty,Extreme Poverty,Moderate Poverty,Population No Vulnerable,Educational Backwardness,Deprivation Quality Housing Spaces,Deprivation Health Services,Deprivation Social Security,Deprivation Basic Services Housing,Deprivation Food Access,Population with at least 1 Social Lack,Population with at least 3 Social Lacks,Income below Welfare Line,Income below Min Welfare Line
0,26001,Aconchi,2010,787.0,58.0,729.0,499.0,588.0,321.0,533.0,1739.0,116.0,248.0,2018.0,354.0,908.0,288.0
1,26001,Aconchi,2015,563.0,48.0,515.0,707.0,555.0,310.0,271.0,1762.0,170.0,122.0,2071.0,230.0,647.0,177.0
2,26001,Aconchi,2020,302.0,30.0,272.0,748.0,451.0,186.0,530.0,1604.0,63.0,362.0,1930.0,260.0,353.0,90.0
3,26002,Agua Prieta,2010,29013.0,3338.0,25675.0,18619.0,11448.0,6654.0,27272.0,41409.0,4086.0,12977.0,54954.0,10974.0,35544.0,9375.0
4,26002,Agua Prieta,2015,28926.0,2264.0,26663.0,24326.0,11620.0,7145.0,18751.0,34725.0,2601.0,19293.0,54667.0,8413.0,37202.0,8762.0
5,26002,Agua Prieta,2020,32778.0,3505.0,29273.0,27015.0,12751.0,5994.0,28154.0,43958.0,2878.0,21623.0,63303.0,11388.0,42221.0,12212.0
6,26003,Álamos,2010,17674.0,5569.0,12105.0,1525.0,7116.0,7161.0,3834.0,21938.0,16751.0,15151.0,25456.0,15680.0,18196.0,7058.0
7,26003,Álamos,2015,12080.0,2497.0,9583.0,2170.0,6026.0,4554.0,1654.0,17478.0,11987.0,6289.0,21384.0,8365.0,12581.0,4392.0
8,26003,Álamos,2020,13487.0,4130.0,9357.0,3066.0,7160.0,7143.0,4222.0,17621.0,13480.0,10505.0,23128.0,10992.0,14277.0,5984.0
9,26004,Altar,2010,4585.0,555.0,4030.0,967.0,2675.0,1172.0,3824.0,7199.0,1288.0,868.0,8212.0,2236.0,5078.0,2160.0
10,26004,Altar,2015,4671.0,404.0,4266.0,1310.0,2073.0,1110.0,1640.0,7132.0,662.0,1633.0,8144.0,1415.0,5173.0,1677.0
11,26004,Altar,2020,4799.0,706.0,4093.0,1077.0,2238.0,1096.0,2745.0,7601.0,485.0,2158.0,8580.0,1958.0,5251.0,2018.0
12,26005,Arivechi,2010,370.0,50.0,320.0,208.0,352.0,72.0,321.0,802.0,220.0,143.0,967.0,246.0,414.0,135.0
13,26005,Arivechi,2015,319.0,79.0,240.0,221.0,306.0,66.0,154.0,763.0,278.0,254.0,967.0,227.0,340.0,132.0
14,26005,Arivechi,2020,371.0,66.0,306.0,259.0,285.0,43.0,224.0,733.0,176.0,167.0,937.0,187.0,430.0,174.0
15,26006,Arizpe,2010,772.0,39.0,733.0,442.0,753.0,219.0,538.0,2201.0,259.0,137.0,2519.0,385.0,838.0,256.0
16,26006,Arizpe,2015,725.0,32.0,694.0,419.0,595.0,162.0,506.0,1987.0,29.0,151.0,2297.0,217.0,792.0,241.0
17,26006,Arizpe,2020,819.0,59.0,760.0,502.0,645.0,195.0,671.0,1944.0,59.0,287.0,2354.0,287.0,933.0,315.0
18,26007,Atil,2010,145.0,5.0,141.0,132.0,103.0,7.0,148.0,415.0,15.0,60.0,474.0,45.0,164.0,52.0
19,26007,Atil,2015,25.0,1.0,24.0,168.0,99.0,42.0,67.0,343.0,6.0,105.0,434.0,44.0,26.0,4.0
20,26007,Atil,2020,180.0,11.0,169.0,112.0,77.0,18.0,155.0,467.0,11.0,62.0,533.0,36.0,203.0,82.0
21,26008,Bacadéhuachi,2010,481.0,73.0,408.0,113.0,378.0,149.0,297.0,965.0,160.0,279.0,1104.0,303.0,515.0,189.0
22,26008,Bacadéhuachi,2015,385.0,44.0,340.0,128.0,326.0,148.0,108.0,833.0,63.0,147.0,976.0,157.0,407.0,140.0
23,26008,Bacadéhuachi,2020,520.0,45.0,475.0,115.0,267.0,59.0,221.0,740.0,16.0,172.0,878.0,131.0,571.0,271.0
24,26009,Bacanora,2010,354.0,44.0,311.0,85.0,267.0,61.0,185.0,521.0,169.0,48.0,671.0,149.0,379.0,157.0
25,26009,Bacanora,2015,117.0,9.0,108.0,144.0,242.0,21.0,105.0,540.0,111.0,11.0,683.0,71.0,124.0,34.0
26,26009,Bacanora,2020,232.0,33.0,199.0,125.0,218.0,37.0,179.0,519.0,106.0,119.0,655.0,116.0,259.0,96.0
27,26010,Bacerac,2010,630.0,114.0,516.0,142.0,347.0,209.0,452.0,1148.0,409.0,470.0,1294.0,441.0,658.0,267.0
28,26010,Bacerac,2015,623.0,77.0,545.0,123.0,351.0,127.0,169.0,1142.0,448.0,27.0,1267.0,216.0,654.0,248.0
29,26010,Bacerac,2020,533.0,65.0,468.0,110.0,263.0,57.0,362.0,1015.0,104.0,190.0,1160.0,176.0,563.0,241.0
30,26011,Bacoachi,2010,497.0,25.0,472.0,189.0,392.0,105.0,397.0,1194.0,151.0,103.0,1405.0,183.0,536.0,188.0
31,26011,Bacoachi,2015,555.0,40.0,515.0,230.0,258.0,51.0,149.0,1155.0,59.0,107.0,1297.0,98.0,641.0,223.0
32,26011,Bacoachi,2020,648.0,24.0,624.0,203.0,308.0,25.0,221.0,1079.0,35.0,84.0,1259.0,71.0,757.0,318.0
33,26012,Bácum,2010,10666.0,1647.0,9019.0,2727.0,4111.0,3344.0,6669.0,13523.0,6396.0,10770.0,19902.0,7036.0,11924.0,3258.0
34,26012,Bácum,2015,10421.0,1489.0,8932.0,3125.0,4181.0,3902.0,2948.0,11352.0,5042.0,7237.0,16703.0,5187.0,13114.0,4251.0
35,26012,Bácum,2020,10274.0,1621.0,8653.0,4371.0,5051.0,3345.0,5188.0,12762.0,5714.0,8377.0,19173.0,5925.0,12142.0,3855.0
36,26013,Banámichi,2010,531.0,29.0,502.0,326.0,303.0,205.0,232.0,1050.0,52.0,48.0,1214.0,119.0,625.0,206.0
37,26013,Banámichi,2015,371.0,11.0,361.0,417.0,246.0,86.0,135.0,1010.0,38.0,81.0,1169.0,70.0,461.0,135.0
